,Player,Runs,Average,SR,HS,Innings,Buff
202,SP Goswami,52,17.333333333333332,130.0,35,3,40
203,SP Jackson,38,19.0,122.58064516129032,16,3,31
204,SP Narine,588,19.6,177.6435045317221,75,34,331
205,SPD Smith,742,41.22222222222222,131.79396092362342,101,22,563
206,SR Watson,805,24.393939393939394,140.98073555166374,117,37,571
207,SS Agarwal,0,0.0,0.0,0,0,0
208,SS Iyer,779,28.85185185185185,130.70469798657714,96,32,596
209,SS Tiwary,222,27.75,120.65217391304348,57,9,184
210,STR Binny,185,13.214285714285715,120.12987012987013,22,18,154
211,SV Samson,1118,28.66666666666667,131.2206572769953,102,43,852
212,SW Billings,334,18.555555555555557,135.77235772357724,56,18,246
213,Swapnil Singh,12,4.0,60.0,10,3,20
214,T Natarajan,0,0.0,0.0,0,0,0
215,T Shamsi,0,0.0,0.0,0,0,0
216,TA Boult,5,5.0,50.0,5,2,10
217,Tejas Baroka,0,0.0,0.0,0,0,0
218,TG Southee,89,14.833333333333336,130.88235294117646,36,9,68
219,TK Curran,23,7.666666666666668,82.14285714285714,18,4,28
220,TM Head,205,29.285714285714285,138.51351351351352,75,10,148
221,TS Mills,8,2.6666666666666665,72.72727272727273,6,3,11
222,UBT Chand,0,0.0,0.0,0,1,4
223,UT Khawaja,127,21.166666666666668,127.0,30,6,100
224,UT Yadav,22,4.4,75.86206896551724,7,11,29
225,V Kohli,1811,54.87878787878788,142.2623723487824,113,40,1273
226,V Shankar,313,52.16666666666666,140.35874439461884,63,15,223
227,Vishnu Vinod,19,6.333333333333332,73.07692307692307,9,3,26
228,VR Aaron,4,4.0,40.0,4,3,10
229,Washington Sundar,74,18.5,148.0,35,11,50
230,WP Saha,626,21.58620689655172,124.95009980039922,93,33,501
231,YK Pathan,764,34.72727272727273,135.70159857904085,63,37,563
232,YS Chahal,13,4.333333333333333,43.33333333333334,4,7,30
233,Yuvraj Singh,553,23.04166666666667,128.9044289044289,70,27,429
234,Z Khan,10,3.333333333333333,38.46153846153847,4,5,26
