batman,bowler,0,1,2,3,4,6,notout,balls
BB McCullum,BA Stokes,0.3076923077,0.6923076923,0.7692307692,0.7692307692,0.9230769231,1,1,13
BB McCullum,Imran Tahir,0.2307692308,0.5384615385,0.5384615385,0.5384615385,0.8461538462,1,1,13
SPD Smith,P Negi,0.3076923077,0.9230769231,1,1,1,1,1,13
SS Iyer,UT Yadav,0.3846153846,0.6923076923,0.7692307692,0.7692307692,1,1,1,13
G Gambhir,PJ Cummins,0.3846153846,0.7692307692,0.7692307692,0.7692307692,1,1,1,13
KM Jadhav,AJ Tye,0.3846153846,0.5384615385,0.6923076923,0.6923076923,0.9230769231,1,1,13
SK Raina,YS Chahal,0.3076923077,0.7692307692,0.7692307692,0.7692307692,1,1,0.9230769231,13
SK Raina,S Aravind,0.6153846154,0.7692307692,0.7692307692,0.7692307692,0.8461538462,1,1,13
HH Pandya,PJ Cummins,0.3846153846,0.7692307692,0.7692307692,0.7692307692,0.8461538462,1,1,13
SE Marsh,RA Jadeja,0.3076923077,0.7692307692,0.8461538462,0.8461538462,1,1,1,13
KD Karthik,AR Patel,0.0769230769,0.7692307692,0.9230769231,0.9230769231,1,1,1,13
G Gambhir,DT Christian,0.5384615385,0.9230769231,0.9230769231,0.9230769231,1,1,0.9230769231,13
S Dhawan,KC Cariappa,0.2307692308,0.6923076923,0.8461538462,0.8461538462,1,1,1,13
SE Marsh,S Kaul,0.3846153846,0.6923076923,0.6923076923,0.6923076923,0.9230769231,1,1,13
PA Patel,SK Raina,0.1538461538,0.7692307692,0.9230769231,0.9230769231,1,1,1,13
KD Karthik,CJ Anderson,0.4615384615,0.7692307692,0.7692307692,0.7692307692,0.9230769231,1,1,13
Yuvraj Singh,Imran Tahir,0.4615384615,0.8461538462,0.9230769231,0.9230769231,1,1,1,13
TM Head,AS Rajpoot,0.3846153846,0.8461538462,0.8461538462,0.8461538462,0.9230769231,1,1,13
HM Amla,JP Faulkner,0.0769230769,0.6153846154,0.7692307692,0.7692307692,0.9230769231,1,1,13
WP Saha,SL Malinga,0.3076923077,0.6153846154,0.7692307692,0.7692307692,0.9230769231,1,1,13
V Shankar,PJ Sangwan,0.3846153846,0.5384615385,0.6923076923,0.6923076923,1,1,1,13
SS Tiwary,UT Yadav,0.4615384615,0.7692307692,0.7692307692,0.7692307692,1,1,1,13
PA Patel,AB Dinda,0.5833333333,0.75,0.75,0.75,1,1,1,12
SPD Smith,AR Patel,0.25,1,1,1,1,1,1,12
AR Patel,BA Stokes,0.75,1,1,1,1,1,1,12
AB de Villiers,MP Stoinis,0.25,0.75,0.8333333333,0.8333333333,0.8333333333,1,1,12
GJ Maxwell,YS Chahal,0.5833333333,0.9166666667,0.9166666667,0.9166666667,0.9166666667,1,0.9166666667,12
RR Pant,A Zampa,0.4166666667,0.6666666667,0.75,0.75,0.9166666667,1,0.9166666667,12
MK Pandey,AR Patel,0.25,0.8333333333,0.9166666667,0.9166666667,1,1,1,12
V Kohli,MJ McClenaghan,0.5833333333,0.9166666667,1,1,1,1,0.8333333333,12
V Kohli,JJ Bumrah,0.4166666667,0.75,0.75,0.75,0.8333333333,1,1,12
G Gambhir,Rashid Khan,0.5833333333,0.8333333333,1,1,1,1,0.9166666667,12
S Dhawan,Kuldeep Yadav,0.5,0.9166666667,0.9166666667,0.9166666667,1,1,1,12
DA Warner,YK Pathan,0.3333333333,0.6666666667,0.75,0.75,0.9166666667,1,1,12
SK Raina,Harbhajan Singh,0.4166666667,1,1,1,1,1,0.9166666667,12
N Rana,P Kumar,0.5833333333,0.75,0.9166666667,0.9166666667,1,1,1,12
AM Rahane,S Badree,0.4166666667,0.8333333333,0.9166666667,0.9166666667,1,1,0.8333333333,12
DA Warner,Sandeep Sharma,0.5,0.8333333333,0.8333333333,0.8333333333,0.9166666667,1,1,12
DA Warner,AR Patel,0.3333333333,0.75,0.75,0.75,0.8333333333,1,1,12
EJG Morgan,Rashid Khan,0.5833333333,1,1,1,1,1,0.9166666667,12
EJG Morgan,MC Henriques,0.25,0.75,0.75,0.75,0.9166666667,1,1,12
KS Williamson,J Yadav,0.4166666667,0.8333333333,0.9166666667,0.9166666667,0.9166666667,1,1,12
HM Amla,MJ McClenaghan,0.5833333333,0.75,0.8333333333,0.8333333333,1,1,1,12
JC Buttler,Sandeep Sharma,0.25,0.5833333333,0.5833333333,0.5833333333,0.6666666667,1,1,12
N Rana,I Sharma,0.3333333333,0.75,0.75,0.75,0.8333333333,1,1,12
