batid,bowlid,batsman,bowler,0,1,2,3,4,6,out,batclustno,bowlclustno,balls
16,172,SPD Smith,MP Stoinis,1.0,0.0,0.0,0.0,0.0,0.0,0.5,5,3,2,
214,172,BA Stokes,MP Stoinis,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0,3,9,
204,172,MS Dhoni,MP Stoinis,0.625,0.375,0.0,0.0,0.0,0.0,0.0,1,3,8,
214,136,BA Stokes,Swapnil Singh,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0,5,5,
204,136,MS Dhoni,Swapnil Singh,0.6,0.4,0.0,0.0,0.0,0.0,0.2,1,5,5,
228,136,MK Tiwary,Swapnil Singh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,5,2,
214,137,BA Stokes,T Natarajan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,5,
228,137,MK Tiwary,T Natarajan,0.14285714285714285,0.5714285714285714,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,2,0,7,
228,146,MK Tiwary,AR Patel,0.25,0.75,0.0,0.0,0.0,0.0,0.0,2,5,4,
228,172,MK Tiwary,MP Stoinis,0.0,0.5,0.0,0.0,0.5,0.0,0.0,2,3,2,
214,152,BA Stokes,MM Sharma,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0,5,4,
228,152,MK Tiwary,MM Sharma,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,2,5,6,
42,146,DT Christian,AR Patel,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4,5,2,
42,152,DT Christian,MM Sharma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,5,2,
228,154,MK Tiwary,Sandeep Sharma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,5,2,
42,154,DT Christian,Sandeep Sharma,0.25,0.0,0.0,0.0,0.5,0.25,0.25,4,5,4,
222,160,HM Amla,AB Dinda,0.5714285714285714,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0,3,7,
225,160,M Vohra,AB Dinda,0.4,0.4,0.0,0.0,0.0,0.2,0.2,0,3,5,
225,166,M Vohra,DT Christian,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0,3,6,
222,166,HM Amla,DT Christian,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0,3,4,
19,166,WP Saha,DT Christian,0.6,0.2,0.0,0.0,0.2,0.0,0.2,5,3,5,
19,213,WP Saha,BA Stokes,0.2857142857142857,0.42857142857142855,0.0,0.0,0.2857142857142857,0.0,0.0,5,4,7,
222,213,HM Amla,BA Stokes,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0,4,3,
222,219,HM Amla,Imran Tahir,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0,4,4,
19,219,WP Saha,Imran Tahir,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,4,1,
213,219,AR Patel,Imran Tahir,0.375,0.5,0.0,0.0,0.125,0.0,0.125,5,4,8,
213,213,AR Patel,BA Stokes,0.75,0.25,0.0,0.0,0.0,0.0,0.0,5,4,12,
213,71,AR Patel,RD Chahar,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.1111111111111111,0.0,5,5,9,
222,71,HM Amla,RD Chahar,0.5,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0,5,6,
222,204,HM Amla,R Bhatia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2,3,
213,204,AR Patel,R Bhatia,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,5,2,3,
4,219,GJ Maxwell,Imran Tahir,0.16666666666666666,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,5,4,6,
216,219,DA Miller,Imran Tahir,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0,4,5,
4,71,GJ Maxwell,RD Chahar,0.42857142857142855,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,5,5,7,
216,71,DA Miller,RD Chahar,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0,5,6,
216,204,DA Miller,R Bhatia,0.6,0.2,0.0,0.0,0.0,0.2,0.0,0,2,5,
